employee_id,full_name,department,salary,performance_score,hire_year
1000,Employee_1000,Sales,70795.0,Exceeds Expectations,2024
1001,Employee_1001,Marketing,55860.0,Exceeds Expectations,2023
1002,Employee_1002,Operations,131820.0,Meets Expectations,2022
1003,Employee_1003,HR,109886.0,Outstanding,2019
1004,Employee_1004,Engineering,61265.0,Needs Improvement,2021
1005,Employee_1005,Finance,137386.0,Needs Improvement,2024
1006,Employee_1006,Finance,92194.0,Outstanding,2024
1007,Employee_1007,Operations,142498.0,Outstanding,2023
1008,Employee_1008,Engineering,99131.0,Outstanding,2021
1009,Employee_1009,Product,115263.0,Outstanding,2022
1010,Employee_1010,Product,71023.0,,2022
1011,Employee_1011,Engineering,96090.0,Exceeds Expectations,2024
1012,Employee_1012,Sales,122221.0,Exceeds Expectations,2019
1013,Employee_1013,Finance,119820.0,Exceeds Expectations,2019
1014,Employee_1014,Marketing,55769.0,Exceeds Expectations,2018
1015,Employee_1015,Marketing,114735.0,Meets Expectations,2021
1016,Employee_1016,Finance,117955.0,Needs Improvement,2021
1017,Employee_1017,Product,119925.0,Needs Improvement,2022
1018,Employee_1018,Operations,122969.0,Meets Expectations,2018
1019,Employee_1019,Finance,60311.0,Meets Expectations,2023
1020,Employee_1020,Marketing,138104.0,Exceeds Expectations,2021
1021,Employee_1021,Engineering,108707.0,Exceeds Expectations,2018
1022,Employee_1022,Finance,140305.0,Needs Improvement,2018
1023,Employee_1023,Product,83693.0,Exceeds Expectations,2024
1024,Employee_1024,Product,126932.0,Meets Expectations,2022
1025,Employee_1025,Operations,80658.0,Meets Expectations,2018
1026,Employee_1026,Finance,139478.0,Exceeds Expectations,2025
1027,Employee_1027,HR,73431.0,Exceeds Expectations,2019
1028,Employee_1028,Engineering,57747.0,Exceeds Expectations,2025
1029,Employee_1029,Engineering,114150.0,Meets Expectations,2019
1030,Employee_1030,Operations,120725.0,Outstanding,2020
1031,Employee_1031,Marketing,139654.0,Outstanding,2022
1032,Employee_1032,Product,90773.0,Exceeds Expectations,2024
1033,Employee_1033,Sales,122435.0,Outstanding,2023
1034,Employee_1034,HR,111886.0,Outstanding,2025
1035,Employee_1035,Operations,121803.0,Exceeds Expectations,2025
1036,Employee_1036,Sales,86551.0,Needs Improvement,2020
1037,Employee_1037,Finance,66394.0,Needs Improvement,2019
1038,Employee_1038,Engineering,124092.0,Outstanding,2024
1039,Employee_1039,Operations,58890.0,,2020
1040,Employee_1040,Engineering,96606.0,Exceeds Expectations,2022
1041,Employee_1041,Engineering,135038.0,Exceeds Expectations,2024
1042,Employee_1042,Finance,142313.0,Outstanding,2022
1043,Employee_1043,Engineering,65627.0,Meets Expectations,2018
